Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
08:00 - 09:00,—,—,—,—,CVT (CR-503),—
09:00 - 10:00,CVT (CR-402) / TCS (CR-505),TCS (CR-107),MPMC (CR-503),MPMC (CR-404),COA (CR-503),—
10:00 - 11:00,WP (LAB) / MPMC (LAB),DAA (LAB) / MPMC (LAB),DBMS (LAB) / DAA (LAB),DBMS (LAB)/ WP (LAB), TCS (CR-503),—
11:00 - 12:00,WP (LAB) / MPMC (LAB),DAA (LAB) / MPMC (LAB),DBMS (LAB) / DAA (LAB),DBMS (LAB) / WP (LAB),BREAK,—
12:00 - 01:00,BREAK,BREAK,DAA (CR-503),CVT (CR-403),DBMS (CR-503),—
01:00 - 02:00,MPMC (CR-503),CVT (CR-503),TCS (CR-605),BREAK,DAA (CR-503),—
02:00 - 03:00,DBMS (CR-503),COA (CR-503),—,CVT (CR-508),OOPJ (CL-503 / LAB),—
03:00 - 04:00,WP (CR-401),WP (CR-503),—,COA (CR-503),OOPJ (CL-503 / LAB),—
